run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,start,slider_start,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
10,1,"""","""","""","""","""",video-slider-response,13,344749,0.0-13.0,rhhm6gcs8,11247,"[""video/maybe_line_new_1_1cut.mp4""]",-28,maybe_1,null,0,video/maybe_line_new_1_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,14,355411,0.0-14.0,rhhm6gcs8,10658,"[""video/maybe_line_new_4_1cut.mp4""]",-24,maybe_1,null,0,video/maybe_line_new_4_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,15,365430,0.0-15.0,rhhm6gcs8,10013,"[""video/maybe_line_new_2_1cut.mp4""]",0,maybe_1,null,0,video/maybe_line_new_2_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,16,374347,0.0-16.0,rhhm6gcs8,8912,"[""video/yes_line_8_1cut.mp4""]",-30,yes_1,null,0,video/yes_line_8_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,17,381984,0.0-17.0,rhhm6gcs8,7628,"[""video/maybe_line_new_3_1cut.mp4""]",-20,maybe_1,null,0,video/maybe_line_new_3_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",video-slider-response,18,389411,0.0-18.0,rhhm6gcs8,7424,"[""video/no_line_1_1cut.mp4""]",0,no_1,null,0,video/no_line_1_1cut.mp4,2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",survey-html-form,19,408320,0.0-19.0,rhhm6gcs8,18906,"""","[{""name"":""understand"",""value"":""yes""},{""name"":""problems"",""value"":""No""},{""name"":""age"",""value"":""45""},{""name"":""gender"",""value"":""female""},{""name"":""comments"",""value"":""No""}]",debrief,"""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
10,1,"""","""","""","""","""",html-keyboard-response,20,457514,0.0-20.0,rhhm6gcs8,49191,"<div style=""font-size:20px;"">This task is now over. The completion code is: rhhm6gcs8 Press space after you have the completion code to finish. Thank you for your participation! </div>", ,"""","""","""","""",2022-01-26 04:22:13,70.161.171.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
15,1,true,false,[],[],[],preload,0,699,0.0-0.0,6t4mp6pdc,"""","""","""","""","""","""","""",2022-01-26 04:24:40,68.32.41.142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
15,1,"""","""","""","""","""",html-keyboard-response,1,5351,0.0-1.0,6t4mp6pdc,4648,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 15 minutes to complete. Please complete it in one sitting.</p>", ,"""","""","""","""",2022-01-26 04:24:40,68.32.41.142,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.54 Safari/537.36 Edg/93.0.961.38",WebKit,Edge,93.0.961.38,Windows,10.0,9b0944a1c4b7446d8b03129ce44dbcf3
